Unnamed: 0,rank,discipline,yrs.since.phd,yrs.service,sex,salary,salary_in_lakhs
1.0,Prof,B,19.0,18.0,Male,139750,1.3975
2.0,Prof,B,20.0,16.0,Male,173200,1.732
3.0,AsstProf,B,4.0,3.0,Male,79750,0.7975
4.0,Prof,B,45.0,39.0,Male,115000,1.15
5.0,Prof,B,40.0,41.0,Male,141500,1.415
6.0,AssocProf,B,6.0,6.0,Male,97000,0.97
7.0,Prof,B,30.0,23.0,,175000,1.75
8.0,Prof,B,45.0,45.0,Male,147765,1.47765
9.0,Prof,B,21.0,20.0,Male,119250,1.1925
10.0,Prof,B,18.0,18.0,Female,129000,1.29
11.0,AssocProf,B,12.0,8.0,Male,119800,1.198
12.0,AsstProf,B,7.0,2.0,Male,79800,0.798
13.0,,B,1.0,,Male,77700,0.777
14.0,AsstProf,B,2.0,0.0,Male,78000,0.78
15.0,,B,,18.0,Male,104800,1.048
16.0,Prof,B,45.0,45.0,Male,147765,1.47765
17.0,Prof,B,12.0,3.0,Male,117150,1.1715
18.0,Prof,B,19.0,20.0,Male,101000,1.01
19.0,Prof,A,38.0,34.0,Male,103450,1.0345
20.0,Prof,A,37.0,23.0,Male,124750,1.2475
21.0,Prof,A,39.0,36.0,Female,137000,1.37
22.0,Prof,A,31.0,26.0,Male,89565,0.89565
23.0,Prof,A,36.0,31.0,Male,102580,1.0258
24.0,Prof,A,34.0,30.0,Male,93904,0.93904
25.0,Prof,A,24.0,19.0,Male,113068,1.13068
26.0,AssocProf,A,13.0,8.0,Female,74830,0.7483
27.0,Prof,A,21.0,8.0,Male,106294,1.06294
28.0,Prof,A,35.0,23.0,Male,134885,1.34885
29.0,AsstProf,B,5.0,3.0,Male,82379,0.82379
30.0,AsstProf,B,11.0,0.0,Male,77000,0.77
31.0,Prof,B,12.0,8.0,Male,118223,1.18223
32.0,Prof,B,20.0,4.0,Male,132261,1.32261
33.0,AsstProf,B,7.0,2.0,Male,79916,0.79916
34.0,Prof,B,13.0,9.0,Male,117256,1.17256
35.0,AsstProf,B,4.0,2.0,Male,80225,0.80225
36.0,AsstProf,B,4.0,2.0,Female,80225,0.80225
37.0,AsstProf,B,5.0,0.0,Female,77000,0.77
38.0,Prof,B,22.0,21.0,Male,155750,1.5575
39.0,AsstProf,B,7.0,4.0,Male,86373,0.86373
40.0,Prof,B,41.0,31.0,Male,125196,1.25196
41.0,AssocProf,B,9.0,9.0,Male,100938,1.00938
42.0,Prof,B,23.0,2.0,Male,146500,1.465
43.0,AssocProf,B,23.0,23.0,Male,93418,0.93418
44.0,Prof,B,40.0,27.0,Male,101299,1.01299
45.0,Prof,B,38.0,38.0,Male,231545,2.31545
46.0,Prof,B,19.0,19.0,Male,94384,0.94384
47.0,Prof,B,25.0,15.0,Male,114778,1.14778
48.0,Prof,B,40.0,28.0,Male,98193,0.98193
49.0,Prof,B,23.0,19.0,Female,151768,1.51768
50.0,Prof,B,25.0,25.0,Female,140096,1.40096
51.0,AsstProf,B,7.0,4.0,Male,86373,0.86373
52.0,AsstProf,B,1.0,1.0,Male,70768,0.70768
53.0,Prof,B,28.0,28.0,Male,126621,1.26621
54.0,Prof,B,12.0,11.0,Male,108875,1.08875
55.0,AsstProf,B,11.0,3.0,Female,74692,0.74692
56.0,Prof,B,16.0,9.0,Male,106639,1.06639
57.0,AssocProf,B,12.0,11.0,Male,103760,1.0376
58.0,AssocProf,B,14.0,5.0,Male,83900,0.839
59.0,Prof,B,23.0,21.0,Male,117704,1.17704
60.0,AssocProf,B,9.0,8.0,Male,90215,0.90215
61.0,AssocProf,B,10.0,9.0,Male,100135,1.00135
62.0,AsstProf,B,8.0,3.0,Male,75044,0.75044
63.0,AssocProf,B,9.0,8.0,Male,90304,0.90304
64.0,AsstProf,B,3.0,2.0,Male,75243,0.75243
65.0,Prof,B,33.0,31.0,Male,109785,1.09785
66.0,AssocProf,B,11.0,11.0,Female,103613,1.03613
67.0,AsstProf,B,4.0,3.0,Male,68404,0.68404
68.0,AssocProf,B,9.0,8.0,Male,100522,1.00522
69.0,Prof,B,22.0,12.0,Male,101000,1.01
70.0,Prof,B,35.0,31.0,Male,99418,0.99418
71.0,Prof,B,17.0,17.0,Female,111512,1.11512
72.0,Prof,B,28.0,36.0,Male,91412,0.91412
73.0,Prof,B,17.0,2.0,Male,126320,1.2632
74.0,Prof,B,45.0,45.0,Male,146856,1.46856
75.0,Prof,B,29.0,19.0,Male,100131,1.00131
76.0,Prof,B,22.0,12.0,Male,101000,1.01
77.0,Prof,B,35.0,34.0,Male,92391,0.92391
78.0,Prof,B,28.0,23.0,Male,113398,1.13398
79.0,AsstProf,B,8.0,3.0,Male,73266,0.73266
80.0,Prof,B,17.0,3.0,Male,150480,1.5048
81.0,Prof,B,26.0,19.0,Male,193000,1.93
82.0,AsstProf,B,3.0,1.0,Male,86100,0.861
83.0,AsstProf,B,6.0,2.0,Male,84240,0.8424
84.0,Prof,B,43.0,28.0,Male,150743,1.50743
85.0,Prof,B,17.0,16.0,Male,135585,1.35585
86.0,Prof,B,22.0,20.0,Male,144640,1.4464
87.0,AsstProf,B,6.0,2.0,Male,88825,0.88825
88.0,Prof,B,17.0,18.0,Female,122960,1.2296
89.0,Prof,B,15.0,14.0,Male,132825,1.32825
90.0,Prof,B,37.0,37.0,Male,152708,1.52708
91.0,AsstProf,B,2.0,2.0,Male,88400,0.884
92.0,Prof,B,25.0,25.0,Male,172272,1.72272
93.0,AssocProf,B,9.0,7.0,Male,107008,1.07008
94.0,AsstProf,B,10.0,5.0,Female,97032,0.97032
95.0,AssocProf,B,10.0,7.0,Male,105128,1.05128
96.0,AssocProf,B,10.0,7.0,Male,105631,1.05631
97.0,Prof,B,38.0,38.0,Male,166024,1.66024
98.0,Prof,B,21.0,20.0,Male,123683,1.23683
99.0,AsstProf,B,4.0,0.0,Male,84000,0.84
100.0,AssocProf,B,17.0,12.0,Male,95611,0.95611
101.0,Prof,B,13.0,7.0,Male,129676,1.29676
102.0,Prof,B,30.0,14.0,Male,102235,1.02235
103.0,Prof,B,41.0,26.0,Male,106689,1.06689
104.0,Prof,B,42.0,25.0,Male,133217,1.33217
105.0,Prof,B,28.0,23.0,Male,126933,1.26933
106.0,Prof,B,16.0,5.0,Male,153303,1.53303
107.0,Prof,B,20.0,14.0,Female,127512,1.27512
108.0,AssocProf,A,18.0,10.0,Male,83850,0.8385
109.0,Prof,A,31.0,28.0,Male,113543,1.13543
110.0,AssocProf,A,11.0,8.0,Male,82099,0.82099
111.0,AssocProf,A,10.0,8.0,Male,82600,0.826
112.0,AssocProf,A,15.0,8.0,Male,81500,0.815
113.0,Prof,A,40.0,31.0,Male,131205,1.31205
114.0,Prof,A,20.0,16.0,Male,112429,1.12429
115.0,AssocProf,A,19.0,16.0,Male,82100,0.821
116.0,AsstProf,A,3.0,1.0,Male,72500,0.725
117.0,Prof,A,37.0,37.0,Male,104279,1.04279
118.0,Prof,A,12.0,0.0,Female,105000,1.05
119.0,Prof,A,21.0,9.0,Male,120806,1.20806
120.0,Prof,A,30.0,29.0,Male,148500,1.485
121.0,Prof,A,39.0,36.0,Male,117515,1.17515
122.0,AsstProf,A,4.0,1.0,Male,72500,0.725
123.0,AsstProf,A,5.0,3.0,Female,73500,0.735
124.0,Prof,A,14.0,14.0,Male,115313,1.15313
125.0,Prof,A,32.0,32.0,Male,124309,1.24309
126.0,Prof,A,24.0,22.0,Male,97262,0.97262
127.0,AssocProf,A,25.0,22.0,Female,62884,0.62884
128.0,Prof,A,24.0,22.0,Male,96614,0.96614
129.0,Prof,A,54.0,49.0,Male,78162,0.78162
130.0,Prof,A,28.0,26.0,Male,155500,1.555
131.0,AsstProf,A,2.0,0.0,Female,72500,0.725
132.0,Prof,A,32.0,30.0,Male,113278,1.13278
133.0,AsstProf,A,4.0,2.0,Male,73000,0.73
134.0,AssocProf,A,11.0,9.0,Male,83001,0.83001
135.0,Prof,A,56.0,57.0,Male,76840,0.7684
136.0,AssocProf,A,10.0,8.0,Female,77500,0.775
137.0,AsstProf,A,3.0,1.0,Female,72500,0.725
138.0,Prof,A,35.0,25.0,Male,168635,1.68635
139.0,Prof,A,20.0,18.0,Male,136000,1.36
140.0,Prof,A,16.0,14.0,Male,108262,1.08262
141.0,Prof,A,17.0,14.0,Male,105668,1.05668
142.0,AssocProf,A,10.0,7.0,Male,73877,0.73877
143.0,Prof,A,21.0,18.0,Male,152664,1.52664
144.0,AssocProf,A,14.0,8.0,Male,100102,1.00102
145.0,AssocProf,A,15.0,10.0,Male,81500,0.815
146.0,Prof,A,19.0,11.0,Male,106608,1.06608
147.0,AsstProf,B,3.0,3.0,Male,89942,0.89942
148.0,Prof,B,27.0,27.0,Male,112696,1.12696
149.0,Prof,B,28.0,28.0,Male,119015,1.19015
150.0,AsstProf,B,4.0,4.0,Male,92000,0.92
151.0,Prof,B,27.0,27.0,Male,156938,1.56938
152.0,Prof,B,36.0,26.0,Female,144651,1.44651
153.0,AsstProf,B,4.0,3.0,Male,95079,0.95079
154.0,Prof,B,14.0,12.0,Male,128148,1.28148
155.0,AsstProf,B,4.0,4.0,Male,92000,0.92
156.0,Prof,B,21.0,9.0,Male,111168,1.11168
157.0,AssocProf,B,12.0,10.0,Female,103994,1.03994
158.0,AsstProf,B,4.0,0.0,Male,92000,0.92
159.0,Prof,B,21.0,21.0,Male,118971,1.18971
160.0,AssocProf,B,12.0,18.0,Male,113341,1.13341
161.0,AsstProf,B,1.0,0.0,Male,88000,0.88
162.0,AssocProf,B,6.0,6.0,Male,95408,0.95408
163.0,Prof,B,15.0,16.0,Male,137167,1.37167
164.0,AsstProf,B,2.0,2.0,Male,89516,0.89516
165.0,Prof,B,26.0,19.0,Male,176500,1.765
166.0,AssocProf,B,22.0,7.0,Male,98510,0.9851
167.0,AsstProf,B,3.0,3.0,Male,89942,0.89942
168.0,AsstProf,B,1.0,0.0,Male,88795,0.88795
169.0,Prof,B,21.0,8.0,Male,105890,1.0589
170.0,Prof,B,16.0,16.0,Male,167284,1.67284
171.0,Prof,B,18.0,19.0,Male,130664,1.30664
172.0,AssocProf,B,8.0,6.0,Male,101210,1.0121
173.0,Prof,B,25.0,18.0,Male,181257,1.81257
174.0,AsstProf,B,5.0,5.0,Male,91227,0.91227
175.0,Prof,B,19.0,19.0,Male,151575,1.51575
176.0,Prof,B,37.0,24.0,Male,93164,0.93164
177.0,Prof,B,20.0,20.0,Male,134185,1.34185
178.0,AssocProf,B,17.0,6.0,Male,105000,1.05
179.0,Prof,B,28.0,25.0,Male,111751,1.11751
180.0,AssocProf,B,10.0,7.0,Male,95436,0.95436
181.0,AssocProf,B,13.0,9.0,Male,100944,1.00944
182.0,Prof,B,27.0,14.0,Male,147349,1.47349
183.0,AsstProf,B,3.0,3.0,Female,92000,0.92
184.0,Prof,B,11.0,11.0,Male,142467,1.42467
185.0,Prof,B,18.0,5.0,Male,141136,1.41136
186.0,AssocProf,B,8.0,8.0,Male,100000,1.0
187.0,Prof,B,26.0,22.0,Male,150000,1.5
188.0,Prof,B,23.0,23.0,Male,101000,1.01
189.0,Prof,B,33.0,30.0,Male,134000,1.34
