,rank,discipline,yrs.since.phd,yrs.service,sex,salary
1,Prof,B,19,18,Male,139750
2,Prof,B,20,16,Male,173200
3,AsstProf,B,4,3,Male,79750
4,Prof,B,45,39,Male,115000
5,Prof,B,40,41,Male,141500
6,AssocProf,B,6,6,Male,97000
7,Prof,B,30,23,,175000
8,Prof,B,45,45,Male,147765
9,Prof,B,21,20,Male,119250
10,Prof,B,18,18,Female,129000
11,AssocProf,B,12,8,Male,119800
12,AsstProf,B,7,2,Male,79800
13,,B,1,,Male,77700
14,AsstProf,B,2,0,Male,78000
15,,B,,18,Male,104800
16,Prof,B,45,45,Male,147765
17,Prof,B,12,3,Male,117150
18,Prof,B,19,20,Male,101000
19,Prof,A,38,34,Male,103450
20,Prof,A,37,23,Male,124750
21,Prof,A,39,36,Female,137000
22,Prof,A,31,26,Male,89565
23,Prof,A,36,31,Male,102580
24,Prof,A,34,30,Male,93904
25,Prof,A,24,19,Male,113068
26,AssocProf,A,13,8,Female,74830
27,Prof,A,21,8,Male,106294
28,Prof,A,35,23,Male,134885
29,AsstProf,B,5,3,Male,82379
30,AsstProf,B,11,0,Male,77000
31,Prof,B,12,8,Male,118223
32,Prof,B,20,4,Male,132261
33,AsstProf,B,7,2,Male,79916
34,Prof,B,13,9,Male,117256
35,AsstProf,B,4,2,Male,80225
36,AsstProf,B,4,2,Female,80225
37,AsstProf,B,5,0,Female,77000
38,Prof,B,22,21,Male,155750
39,AsstProf,B,7,4,Male,86373
40,Prof,B,41,31,Male,125196
41,AssocProf,B,9,9,Male,100938
42,Prof,B,23,2,Male,146500
43,AssocProf,B,23,23,Male,93418
44,Prof,B,40,27,Male,101299
45,Prof,B,38,38,Male,231545
46,Prof,B,19,19,Male,94384
47,Prof,B,25,15,Male,114778
48,Prof,B,40,28,Male,98193
49,Prof,B,23,19,Female,151768
50,Prof,B,25,25,Female,140096
51,AsstProf,B,7,4,Male,86373
52,AsstProf,B,1,1,Male,70768
53,Prof,B,28,28,Male,126621
54,Prof,B,12,11,Male,108875
55,AsstProf,B,11,3,Female,74692
56,Prof,B,16,9,Male,106639
57,AssocProf,B,12,11,Male,103760
58,AssocProf,B,14,5,Male,83900
59,Prof,B,23,21,Male,117704
60,AssocProf,B,9,8,Male,90215
61,AssocProf,B,10,9,Male,100135
62,AsstProf,B,8,3,Male,75044
63,AssocProf,B,9,8,Male,90304
64,AsstProf,B,3,2,Male,75243
65,Prof,B,33,31,Male,109785
66,AssocProf,B,11,11,Female,103613
67,AsstProf,B,4,3,Male,68404
68,AssocProf,B,9,8,Male,100522
69,Prof,B,22,12,Male,101000
70,Prof,B,35,31,Male,99418
71,Prof,B,17,17,Female,111512
72,Prof,B,28,36,Male,91412
73,Prof,B,17,2,Male,126320
74,Prof,B,45,45,Male,146856
75,Prof,B,29,19,Male,100131
76,Prof,B,22,12,Male,101000
77,Prof,B,35,34,Male,92391
78,Prof,B,28,23,Male,113398
79,AsstProf,B,8,3,Male,73266
80,Prof,B,17,3,Male,150480
81,Prof,B,26,19,Male,193000
82,AsstProf,B,3,1,Male,86100
83,AsstProf,B,6,2,Male,84240
84,Prof,B,43,28,Male,150743
85,Prof,B,17,16,Male,135585
86,Prof,B,22,20,Male,144640
87,AsstProf,B,6,2,Male,88825
88,Prof,B,17,18,Female,122960
89,Prof,B,15,14,Male,132825
90,Prof,B,37,37,Male,152708
91,AsstProf,B,2,2,Male,88400
92,Prof,B,25,25,Male,172272
93,AssocProf,B,9,7,Male,107008
94,AsstProf,B,10,5,Female,97032
95,AssocProf,B,10,7,Male,105128
96,AssocProf,B,10,7,Male,105631
97,Prof,B,38,38,Male,166024
98,Prof,B,21,20,Male,123683
99,AsstProf,B,4,0,Male,84000
100,AssocProf,B,17,12,Male,95611
101,Prof,B,13,7,Male,129676
102,Prof,B,30,14,Male,102235
103,Prof,B,41,26,Male,106689
104,Prof,B,42,25,Male,133217
105,Prof,B,28,23,Male,126933
106,Prof,B,16,5,Male,153303
107,Prof,B,20,14,Female,127512
108,AssocProf,A,18,10,Male,83850
109,Prof,A,31,28,Male,113543
110,AssocProf,A,11,8,Male,82099
111,AssocProf,A,10,8,Male,82600
112,AssocProf,A,15,8,Male,81500
113,Prof,A,40,31,Male,131205
114,Prof,A,20,16,Male,112429
115,AssocProf,A,19,16,Male,82100
116,AsstProf,A,3,1,Male,72500
117,Prof,A,37,37,Male,104279
118,Prof,A,12,0,Female,105000
119,Prof,A,21,9,Male,120806
120,Prof,A,30,29,Male,148500
121,Prof,A,39,36,Male,117515
122,AsstProf,A,4,1,Male,72500
123,AsstProf,A,5,3,Female,73500
124,Prof,A,14,14,Male,115313
125,Prof,A,32,32,Male,124309
126,Prof,A,24,22,Male,97262
127,AssocProf,A,25,22,Female,62884
128,Prof,A,24,22,Male,96614
129,Prof,A,54,49,Male,78162
130,Prof,A,28,26,Male,155500
131,AsstProf,A,2,0,Female,72500
132,Prof,A,32,30,Male,113278
133,AsstProf,A,4,2,Male,73000
134,AssocProf,A,11,9,Male,83001
135,Prof,A,56,57,Male,76840
136,AssocProf,A,10,8,Female,77500
137,AsstProf,A,3,1,Female,72500
138,Prof,A,35,25,Male,168635
139,Prof,A,20,18,Male,136000
140,Prof,A,16,14,Male,108262
141,Prof,A,17,14,Male,105668
142,AssocProf,A,10,7,Male,73877
143,Prof,A,21,18,Male,152664
144,AssocProf,A,14,8,Male,100102
145,AssocProf,A,15,10,Male,81500
146,Prof,A,19,11,Male,106608
147,AsstProf,B,3,3,Male,89942
148,Prof,B,27,27,Male,112696
149,Prof,B,28,28,Male,119015
150,AsstProf,B,4,4,Male,92000
151,Prof,B,27,27,Male,156938
152,Prof,B,36,26,Female,144651
153,AsstProf,B,4,3,Male,95079
154,Prof,B,14,12,Male,128148
155,AsstProf,B,4,4,Male,92000
156,Prof,B,21,9,Male,111168
157,AssocProf,B,12,10,Female,103994
158,AsstProf,B,4,0,Male,92000
159,Prof,B,21,21,Male,118971
160,AssocProf,B,12,18,Male,113341
161,AsstProf,B,1,0,Male,88000
162,AssocProf,B,6,6,Male,95408
163,Prof,B,15,16,Male,137167
164,AsstProf,B,2,2,Male,89516
165,Prof,B,26,19,Male,176500
166,AssocProf,B,22,7,Male,98510
167,AsstProf,B,3,3,Male,89942
168,AsstProf,B,1,0,Male,88795
169,Prof,B,21,8,Male,105890
170,Prof,B,16,16,Male,167284
171,Prof,B,18,19,Male,130664
172,AssocProf,B,8,6,Male,101210
173,Prof,B,25,18,Male,181257
174,AsstProf,B,5,5,Male,91227
175,Prof,B,19,19,Male,151575
176,Prof,B,37,24,Male,93164
177,Prof,B,20,20,Male,134185
178,AssocProf,B,17,6,Male,105000
179,Prof,B,28,25,Male,111751
180,AssocProf,B,10,7,Male,95436
181,AssocProf,B,13,9,Male,100944
182,Prof,B,27,14,Male,147349
183,AsstProf,B,3,3,Female,92000
184,Prof,B,11,11,Male,142467
185,Prof,B,18,5,Male,141136
186,AssocProf,B,8,8,Male,100000
187,Prof,B,26,22,Male,150000
188,Prof,B,23,23,Male,101000
189,Prof,B,33,30,Male,134000
190,AssocProf,B,13,10,Female,103750
191,Prof,B,18,10,Male,107500
192,AssocProf,B,28,28,Male,106300
193,Prof,B,25,19,Male,153750
194,Prof,B,22,9,Male,180000
